ticker,company,category,ai_link,fiscal_end,latest_filed,annual_revenue_usd,annual_operating_cashflow_usd,annual_net_income_usd,revenue_accession,operating_cashflow_accession,net_income_accession,sec_companyfacts_url
CARR,CARRIER GLOBAL Corp,data_center_power_and_construction,"Data-center buildings, power distribution, cooling, grid equipment and electricity supply.",2025-12-31,2026-02-05,21747000000,2513000000,1484000000,0001783180-26-000008,0001783180-26-000008,0001783180-26-000008,https://data.sec.gov/api/xbrl/companyfacts/CIK0001783180.json
CDNS,CADENCE DESIGN SYSTEMS INC,enterprise_ai_software,"Enterprise AI applications, data platforms, cybersecurity or chip/system design software.",2025-12-31,2026-02-19,5296759000,1728781000,1108888000,0000813672-26-000016,0000813672-26-000016,0000813672-26-000016,https://data.sec.gov/api/xbrl/companyfacts/CIK0000813672.json
CEG,Constellation Energy Corp,data_center_power_and_construction,"Data-center buildings, power distribution, cooling, grid equipment and electricity supply.",2025-12-31,2026-02-24,22663000000,4237000000,2319000000,0001868275-26-000032,0001868275-26-000032,0001868275-26-000032,https://data.sec.gov/api/xbrl/companyfacts/CIK0001868275.json
CIEN,CIENA CORP,compute_and_network_hardware,"Servers, storage, networking, test equipment or optical components for AI infrastructure.",2025-11-01,2025-12-12,4769507000,806093000,123338000,0001628280-25-056698,0001628280-25-056698,0001628280-25-056698,https://data.sec.gov/api/xbrl/companyfacts/CIK0000936395.json
COHR,COHERENT CORP.,compute_and_network_hardware,"Servers, storage, networking, test equipment or optical components for AI infrastructure.",2025-06-30,2025-08-15,5810115000,633600000,49364000,0000820318-25-000014,0000820318-25-000014,0000820318-25-000014,https://data.sec.gov/api/xbrl/companyfacts/CIK0000820318.json
CRM,"Salesforce, Inc.",enterprise_ai_software,"Enterprise AI applications, data platforms, cybersecurity or chip/system design software.",2026-01-31,2026-03-02,41525000000,14996000000,7457000000,0001108524-26-000060,0001108524-26-000060,0001108524-26-000060,https://data.sec.gov/api/xbrl/companyfacts/CIK0001108524.json
CRUS,"CIRRUS LOGIC, INC.",semiconductors_and_equipment,"Processors, memory, analog/power chips, foundry or fabrication equipment used in AI compute supply chains.",2025-03-29,2025-05-23,1896077000,444366000,331507000,0000772406-25-000014,0000772406-25-000014,0000772406-25-000014,https://data.sec.gov/api/xbrl/companyfacts/CIK0000772406.json
CSCO,"CISCO SYSTEMS, INC.",compute_and_network_hardware,"Servers, storage, networking, test equipment or optical components for AI infrastructure.",2025-07-26,2025-09-03,56654000000,14193000000,10180000000,0000858877-25-000111,0000858877-25-000111,0000858877-25-000111,https://data.sec.gov/api/xbrl/companyfacts/CIK0000858877.json
DDOG,"Datadog, Inc.",enterprise_ai_software,"Enterprise AI applications, data platforms, cybersecurity or chip/system design software.",2025-12-31,2026-02-18,3427158000,1050135000,107741000,0001628280-26-008819,0001628280-26-008819,0001628280-26-008819,https://data.sec.gov/api/xbrl/companyfacts/CIK0001561550.json
DELL,Dell Technologies Inc.,compute_and_network_hardware,"Servers, storage, networking, test equipment or optical components for AI infrastructure.",2026-01-30,2026-03-16,113538000000,11185000000,5936000000,0001571996-26-000008,0001571996-26-000008,0001571996-26-000008,https://data.sec.gov/api/xbrl/companyfacts/CIK0001571996.json
DLR,"DIGITAL REALTY TRUST, INC.",data_center_power_and_construction,"Data-center buildings, power distribution, cooling, grid equipment and electricity supply.",2025-12-31,2026-02-13,6112692000,2412136000,1308589000,0001104659-26-015365,0001104659-26-015365,0001104659-26-015365,https://data.sec.gov/api/xbrl/companyfacts/CIK0001297996.json
DOCU,"DOCUSIGN, INC.",enterprise_ai_software,"Enterprise AI applications, data platforms, cybersecurity or chip/system design software.",2026-01-31,2026-03-18,3219500000,1165007000,309085000,0001261333-26-000021,0001261333-26-000021,0001261333-26-000021,https://data.sec.gov/api/xbrl/companyfacts/CIK0001261333.json
EME,"EMCOR Group, Inc.",data_center_power_and_construction,"Data-center buildings, power distribution, cooling, grid equipment and electricity supply.",2025-12-31,2026-02-26,16986422000,1302063000,1272817000,0000105634-26-000025,0000105634-26-000025,0000105634-26-000025,https://data.sec.gov/api/xbrl/companyfacts/CIK0000105634.json
EMR,EMERSON ELECTRIC CO,data_center_power_and_construction,"Data-center buildings, power distribution, cooling, grid equipment and electricity supply.",2025-09-30,2025-11-10,18016000000,3098000000,2293000000,0000032604-25-000087,0000032604-25-000087,0000032604-25-000087,https://data.sec.gov/api/xbrl/companyfacts/CIK0000032604.json
ENTG,ENTEGRIS INC,semiconductors_and_equipment,"Processors, memory, analog/power chips, foundry or fabrication equipment used in AI compute supply chains.",2025-12-31,2026-02-11,3196600000,695400000,235600000,0001101302-26-000012,0001101302-26-000012,0001101302-26-000012,https://data.sec.gov/api/xbrl/companyfacts/CIK0001101302.json
EQIX,EQUINIX INC,data_center_power_and_construction,"Data-center buildings, power distribution, cooling, grid equipment and electricity supply.",2025-12-31,2026-02-11,9217000000,3911000000,1350000000,0001101239-26-000032,0001101239-26-000032,0001101239-26-000032,https://data.sec.gov/api/xbrl/companyfacts/CIK0001101239.json
ETN,Eaton Corp plc,data_center_power_and_construction,"Data-center buildings, power distribution, cooling, grid equipment and electricity supply.",2025-12-31,2026-02-26,27448000000,4472000000,4087000000,0001551182-26-000007,0001551182-26-000007,0001551182-26-000007,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551182.json
FFIV,"F5, INC.",compute_and_network_hardware,"Servers, storage, networking, test equipment or optical components for AI infrastructure.",2025-09-30,2025-11-25,3088072000,949666000,692380000,0001048695-25-000157,0001048695-25-000157,0001048695-25-000157,https://data.sec.gov/api/xbrl/companyfacts/CIK0001048695.json
FIX,COMFORT SYSTEMS USA INC,data_center_power_and_construction,"Data-center buildings, power distribution, cooling, grid equipment and electricity supply.",2025-12-31,2026-02-19,9101641000,1186356000,1022558000,0001104659-26-017530,0001104659-26-017530,0001104659-26-017530,https://data.sec.gov/api/xbrl/companyfacts/CIK0001035983.json
FLEX,FLEX LTD.,compute_and_network_hardware,"Servers, storage, networking, test equipment or optical components for AI infrastructure.",2025-03-31,2025-05-21,25813000000,1505000000,838000000,0000866374-25-000027,0000866374-25-000027,0000866374-25-000027,https://data.sec.gov/api/xbrl/companyfacts/CIK0000866374.json
FTNT,"Fortinet, Inc.",enterprise_ai_software,"Enterprise AI applications, data platforms, cybersecurity or chip/system design software.",2025-12-31,2026-02-25,6799600000,2590600000,1853400000,0001262039-26-000007,0001262039-26-000007,0001262039-26-000007,https://data.sec.gov/api/xbrl/companyfacts/CIK0001262039.json
GEV,GE Vernova Inc.,data_center_power_and_construction,"Data-center buildings, power distribution, cooling, grid equipment and electricity supply.",2025-12-31,2026-01-29,38068000000,4987000000,4884000000,0001996810-26-000015,0001996810-26-000015,0001996810-26-000015,https://data.sec.gov/api/xbrl/companyfacts/CIK0001996810.json
GLW,CORNING INC /NY,compute_and_network_hardware,"Servers, storage, networking, test equipment or optical components for AI infrastructure.",2025-12-31,2026-02-12,15629000000,2695000000,1596000000,0000024741-26-000124,0000024741-26-000124,0000024741-26-000124,https://data.sec.gov/api/xbrl/companyfacts/CIK0000024741.json
GOOGL,Alphabet Inc.,cloud_and_platform,"Cloud compute, model distribution or large-scale AI-enabled consumer and enterprise platforms.",2025-12-31,2026-02-05,402836000000,164713000000,132170000000,0001652044-26-000018,0001652044-26-000018,0001652044-26-000018,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json
HON,HONEYWELL INTERNATIONAL INC,data_center_power_and_construction,"Data-center buildings, power distribution, cooling, grid equipment and electricity supply.",2025-12-31,2026-02-17,37442000000,6408000000,4729000000,0000773840-26-000013,0000773840-26-000013,0000773840-26-000013,https://data.sec.gov/api/xbrl/companyfacts/CIK0000773840.json
HPE,Hewlett Packard Enterprise Co,compute_and_network_hardware,"Servers, storage, networking, test equipment or optical components for AI infrastructure.",2025-10-31,2025-12-18,34296000000,2919000000,57000000,0001645590-25-000130,0001645590-25-000130,0001645590-25-000130,https://data.sec.gov/api/xbrl/companyfacts/CIK0001645590.json
HUBB,HUBBELL INC,data_center_power_and_construction,"Data-center buildings, power distribution, cooling, grid equipment and electricity supply.",2025-12-31,2026-02-12,5844600000,1029800000,887100000,0001628280-26-007500,0001628280-26-007500,0001628280-26-007500,https://data.sec.gov/api/xbrl/companyfacts/CIK0000048898.json
IBM,INTERNATIONAL BUSINESS MACHINES CORP,compute_and_network_hardware,"Servers, storage, networking, test equipment or optical components for AI infrastructure.",2025-12-31,2026-02-24,67535000000,13193000000,10593000000,0000051143-26-000010,0000051143-26-000010,0000051143-26-000010,https://data.sec.gov/api/xbrl/companyfacts/CIK0000051143.json
INTU,INTUIT INC.,enterprise_ai_software,"Enterprise AI applications, data platforms, cybersecurity or chip/system design software.",2025-07-31,2025-09-03,18831000000,6207000000,3869000000,0000896878-25-000035,0000896878-25-000035,0000896878-25-000035,https://data.sec.gov/api/xbrl/companyfacts/CIK0000896878.json
JBL,JABIL INC,compute_and_network_hardware,"Servers, storage, networking, test equipment or optical components for AI infrastructure.",2025-08-31,2025-10-17,29802000000,1640000000,657000000,0001628280-25-045293,0001628280-25-045293,0001628280-25-045293,https://data.sec.gov/api/xbrl/companyfacts/CIK0000898293.json
KEYS,"Keysight Technologies, Inc.",compute_and_network_hardware,"Servers, storage, networking, test equipment or optical components for AI infrastructure.",2025-10-31,2025-12-17,5375000000,1409000000,850000000,0001601046-25-000127,0001601046-25-000127,0001601046-25-000127,https://data.sec.gov/api/xbrl/companyfacts/CIK0001601046.json
KLAC,KLA CORP,semiconductors_and_equipment,"Processors, memory, analog/power chips, foundry or fabrication equipment used in AI compute supply chains.",2025-06-30,2025-08-08,12156162000,4081903000,4061643000,0000319201-25-000024,0000319201-25-000024,0000319201-25-000024,https://data.sec.gov/api/xbrl/companyfacts/CIK0000319201.json
LITE,Lumentum Holdings Inc.,compute_and_network_hardware,"Servers, storage, networking, test equipment or optical components for AI infrastructure.",2025-06-28,2025-08-19,1645000000,126300000,25900000,0001628280-25-040830,0001628280-25-040830,0001628280-25-040830,https://data.sec.gov/api/xbrl/companyfacts/CIK0001633978.json
LRCX,LAM RESEARCH CORP,semiconductors_and_equipment,"Processors, memory, analog/power chips, foundry or fabrication equipment used in AI compute supply chains.",2025-06-29,2025-08-11,18435591000,6173264000,5358217000,0000707549-25-000075,0000707549-25-000075,0000707549-25-000075,https://data.sec.gov/api/xbrl/companyfacts/CIK0000707549.json
MELI,MERCADOLIBRE INC,cloud_and_platform,"Cloud compute, model distribution or large-scale AI-enabled consumer and enterprise platforms.",2025-12-31,2026-02-25,20335000000,12116000000,1997000000,0001099590-26-000006,0001099590-26-000006,0001099590-26-000006,https://data.sec.gov/api/xbrl/companyfacts/CIK0001099590.json
META,"Meta Platforms, Inc.",cloud_and_platform,"Cloud compute, model distribution or large-scale AI-enabled consumer and enterprise platforms.",2025-12-31,2026-01-29,200966000000,115800000000,60458000000,0001628280-26-003942,0001628280-26-003942,0001628280-26-003942,https://data.sec.gov/api/xbrl/companyfacts/CIK0001326801.json
MPWR,"MONOLITHIC POWER SYSTEMS, INC.",semiconductors_and_equipment,"Processors, memory, analog/power chips, foundry or fabrication equipment used in AI compute supply chains.",2025-12-31,2026-02-27,2790459000,838202000,621483000,0001437749-26-006113,0001437749-26-006113,0001437749-26-006113,https://data.sec.gov/api/xbrl/companyfacts/CIK0001280452.json
MRVL,"Marvell Technology, Inc.",semiconductors_and_equipment,"Processors, memory, analog/power chips, foundry or fabrication equipment used in AI compute supply chains.",2026-01-31,2026-03-11,8194600000,1750500000,2670100000,0001835632-26-000011,0001835632-26-000011,0001835632-26-000011,https://data.sec.gov/api/xbrl/companyfacts/CIK0001835632.json
MSFT,MICROSOFT CORP,cloud_and_platform,"Cloud compute, model distribution or large-scale AI-enabled consumer and enterprise platforms.",2025-06-30,2025-07-30,281724000000,136162000000,101832000000,0000950170-25-100235,0000950170-25-100235,0000950170-25-100235,https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json
MU,MICRON TECHNOLOGY INC,semiconductors_and_equipment,"Processors, memory, analog/power chips, foundry or fabrication equipment used in AI compute supply chains.",2025-08-28,2025-10-03,37378000000,17525000000,8539000000,0000723125-25-000028,0000723125-25-000028,0000723125-25-000028,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json
NEE,NEXTERA ENERGY INC,data_center_power_and_construction,"Data-center buildings, power distribution, cooling, grid equipment and electricity supply.",2025-12-31,2026-02-13,25800000000,12485000000,6835000000,0000753308-26-000015,0000753308-26-000015,0000753308-26-000015,https://data.sec.gov/api/xbrl/companyfacts/CIK0000753308.json
NOW,"ServiceNow, Inc.",enterprise_ai_software,"Enterprise AI applications, data platforms, cybersecurity or chip/system design software.",2025-12-31,2026-01-29,13278000000,5444000000,1748000000,0001373715-26-000007,0001373715-26-000007,0001373715-26-000007,https://data.sec.gov/api/xbrl/companyfacts/CIK0001373715.json
NRG,"NRG ENERGY, INC.",data_center_power_and_construction,"Data-center buildings, power distribution, cooling, grid equipment and electricity supply.",2025-12-31,2026-02-24,30347000000,1913000000,864000000,0001013871-26-000004,0001013871-26-000004,0001013871-26-000004,https://data.sec.gov/api/xbrl/companyfacts/CIK0001013871.json
NTAP,"NetApp, Inc.",compute_and_network_hardware,"Servers, storage, networking, test equipment or optical components for AI infrastructure.",2025-04-25,2025-06-09,6572000000,1506000000,1186000000,0000950170-25-083705,0000950170-25-083705,0000950170-25-083705,https://data.sec.gov/api/xbrl/companyfacts/CIK0001002047.json
NVDA,NVIDIA CORP,semiconductors_and_equipment,"Processors, memory, analog/power chips, foundry or fabrication equipment used in AI compute supply chains.",2026-01-25,2026-02-25,215938000000,102718000000,120067000000,0001045810-26-000021,0001045810-26-000021,0001045810-26-000021,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json
NXPI,NXP Semiconductors N.V.,semiconductors_and_equipment,"Processors, memory, analog/power chips, foundry or fabrication equipment used in AI compute supply chains.",2025-12-31,2026-02-19,12269000000,2820000000,2021000000,0001413447-26-000008,0001413447-26-000008,0001413447-26-000008,https://data.sec.gov/api/xbrl/companyfacts/CIK0001413447.json
OKTA,"Okta, Inc.",enterprise_ai_software,"Enterprise AI applications, data platforms, cybersecurity or chip/system design software.",2026-01-31,2026-03-05,2919000000,884000000,235000000,0001660134-26-000020,0001660134-26-000020,0001660134-26-000020,https://data.sec.gov/api/xbrl/companyfacts/CIK0001660134.json
ON,ON SEMICONDUCTOR CORP,semiconductors_and_equipment,"Processors, memory, analog/power chips, foundry or fabrication equipment used in AI compute supply chains.",2025-12-31,2026-02-09,5995400000,1759800000,121000000,0001097864-26-000006,0001097864-26-000006,0001097864-26-000006,https://data.sec.gov/api/xbrl/companyfacts/CIK0001097864.json
ONTO,ONTO INNOVATION INC.,semiconductors_and_equipment,"Processors, memory, analog/power chips, foundry or fabrication equipment used in AI compute supply chains.",2026-01-03,2026-02-24,1005263000,328315000,136759000,0001193125-26-066937,0001193125-26-066937,0001193125-26-066937,https://data.sec.gov/api/xbrl/companyfacts/CIK0000704532.json
ORCL,ORACLE CORP,cloud_and_platform,"Cloud compute, model distribution or large-scale AI-enabled consumer and enterprise platforms.",2025-05-31,2025-06-18,57399000000,20821000000,12443000000,0000950170-25-087926,0000950170-25-087926,0000950170-25-087926,https://data.sec.gov/api/xbrl/companyfacts/CIK0001341439.json
PANW,Palo Alto Networks Inc,enterprise_ai_software,"Enterprise AI applications, data platforms, cybersecurity or chip/system design software.",2025-07-31,2025-08-29,9221500000,3716000000,1133900000,0001327567-25-000027,0001327567-25-000027,0001327567-25-000027,https://data.sec.gov/api/xbrl/companyfacts/CIK0001327567.json
PAYC,"Paycom Software, Inc.",enterprise_ai_software,"Enterprise AI applications, data platforms, cybersecurity or chip/system design software.",2025-12-31,2026-02-19,2051700000,678900000,453400000,0001193125-26-059372,0001193125-26-059372,0001193125-26-059372,https://data.sec.gov/api/xbrl/companyfacts/CIK0001590955.json
PLTR,Palantir Technologies Inc.,enterprise_ai_software,"Enterprise AI applications, data platforms, cybersecurity or chip/system design software.",2025-12-31,2026-02-17,4475446000,2134473000,1625033000,0001321655-26-000011,0001321655-26-000011,0001321655-26-000011,https://data.sec.gov/api/xbrl/companyfacts/CIK0001321655.json
PWR,"QUANTA SERVICES, INC.",data_center_power_and_construction,"Data-center buildings, power distribution, cooling, grid equipment and electricity supply.",2025-12-31,2026-02-19,28479697000,2229970000,1028378000,0001050915-26-000006,0001050915-26-000006,0001050915-26-000006,https://data.sec.gov/api/xbrl/companyfacts/CIK0001050915.json
QCOM,QUALCOMM INC/DE,semiconductors_and_equipment,"Processors, memory, analog/power chips, foundry or fabrication equipment used in AI compute supply chains.",2025-09-28,2025-11-05,44284000000,14012000000,5541000000,0000804328-25-000085,0000804328-25-000085,0000804328-25-000085,https://data.sec.gov/api/xbrl/companyfacts/CIK0000804328.json
QRVO,"Qorvo, Inc.",semiconductors_and_equipment,"Processors, memory, analog/power chips, foundry or fabrication equipment used in AI compute supply chains.",2025-03-29,2025-05-19,3718971000,622202000,55615000,0001604778-25-000041,0001604778-25-000041,0001604778-25-000041,https://data.sec.gov/api/xbrl/companyfacts/CIK0001604778.json
ROK,"ROCKWELL AUTOMATION, INC",data_center_power_and_construction,"Data-center buildings, power distribution, cooling, grid equipment and electricity supply.",2025-09-30,2025-11-12,8342000000,1544000000,869000000,0001024478-25-000116,0001024478-25-000116,0001024478-25-000116,https://data.sec.gov/api/xbrl/companyfacts/CIK0001024478.json
SHOP,SHOPIFY INC.,cloud_and_platform,"Cloud compute, model distribution or large-scale AI-enabled consumer and enterprise platforms.",2025-12-31,2026-02-11,11556000000,2033000000,1231000000,0001594805-26-000007,0001594805-26-000007,0001594805-26-000007,https://data.sec.gov/api/xbrl/companyfacts/CIK0001594805.json
SMCI,"Super Micro Computer, Inc.",compute_and_network_hardware,"Servers, storage, networking, test equipment or optical components for AI infrastructure.",2025-06-30,2025-08-28,21972042000,1659524000,1048854000,0001375365-25-000027,0001375365-25-000027,0001375365-25-000027,https://data.sec.gov/api/xbrl/companyfacts/CIK0001375365.json
SNPS,SYNOPSYS INC,enterprise_ai_software,"Enterprise AI applications, data platforms, cybersecurity or chip/system design software.",2025-10-31,2025-12-22,7054178000,1518608000,1332220000,0000883241-25-000028,0000883241-25-000028,0000883241-25-000028,https://data.sec.gov/api/xbrl/companyfacts/CIK0000883241.json
STX,Seagate Technology Holdings plc,compute_and_network_hardware,"Servers, storage, networking, test equipment or optical components for AI infrastructure.",2025-06-27,2025-08-01,9097000000,1083000000,1469000000,0001137789-25-000157,0001137789-25-000157,0001137789-25-000157,https://data.sec.gov/api/xbrl/companyfacts/CIK0001137789.json
SWKS,"SKYWORKS SOLUTIONS, INC.",semiconductors_and_equipment,"Processors, memory, analog/power chips, foundry or fabrication equipment used in AI compute supply chains.",2025-10-03,2025-11-07,4086900000,1300800000,477100000,0000004127-25-000085,0000004127-25-000085,0000004127-25-000085,https://data.sec.gov/api/xbrl/companyfacts/CIK0000004127.json
TER,"TERADYNE, INC",semiconductors_and_equipment,"Processors, memory, analog/power chips, foundry or fabrication equipment used in AI compute supply chains.",2025-12-31,2026-02-19,3190024000,674415000,554047000,0001193125-26-059002,0001193125-26-059002,0001193125-26-059002,https://data.sec.gov/api/xbrl/companyfacts/CIK0000097210.json
TT,Trane Technologies plc,data_center_power_and_construction,"Data-center buildings, power distribution, cooling, grid equipment and electricity supply.",2025-12-31,2026-02-05,21321900000,3194500000,2918600000,0001628280-26-005731,0001628280-26-005731,0001628280-26-005731,https://data.sec.gov/api/xbrl/companyfacts/CIK0001466258.json
TWLO,TWILIO INC,enterprise_ai_software,"Enterprise AI applications, data platforms, cybersecurity or chip/system design software.",2025-12-31,2026-02-24,5067220000,1003244000,33834000,0001447669-26-000021,0001447669-26-000021,0001447669-26-000021,https://data.sec.gov/api/xbrl/companyfacts/CIK0001447669.json
TXN,TEXAS INSTRUMENTS INC,semiconductors_and_equipment,"Processors, memory, analog/power chips, foundry or fabrication equipment used in AI compute supply chains.",2025-12-31,2026-02-06,17682000000,7153000000,5001000000,0000097476-26-000059,0000097476-26-000059,0000097476-26-000059,https://data.sec.gov/api/xbrl/companyfacts/CIK0000097476.json
UBER,"Uber Technologies, Inc",cloud_and_platform,"Cloud compute, model distribution or large-scale AI-enabled consumer and enterprise platforms.",2025-12-31,2026-02-13,52017000000,10099000000,10053000000,0001543151-26-000015,0001543151-26-000015,0001543151-26-000015,https://data.sec.gov/api/xbrl/companyfacts/CIK0001543151.json
VRT,Vertiv Holdings Co,data_center_power_and_construction,"Data-center buildings, power distribution, cooling, grid equipment and electricity supply.",2025-12-31,2026-02-13,10229900000,2113800000,1332800000,0001674101-26-000008,0001674101-26-000008,0001674101-26-000008,https://data.sec.gov/api/xbrl/companyfacts/CIK0001674101.json
VST,Vistra Corp.,data_center_power_and_construction,"Data-center buildings, power distribution, cooling, grid equipment and electricity supply.",2025-12-31,2026-02-27,17586000000,4070000000,944000000,0001692819-26-000006,0001692819-26-000006,0001692819-26-000006,https://data.sec.gov/api/xbrl/companyfacts/CIK0001692819.json
WDC,WESTERN DIGITAL CORP,compute_and_network_hardware,"Servers, storage, networking, test equipment or optical components for AI infrastructure.",2025-06-27,2025-08-14,9520000000,1691000000,1889000000,0000106040-25-000038,0000106040-25-000038,0000106040-25-000038,https://data.sec.gov/api/xbrl/companyfacts/CIK0000106040.json
ZM,"Zoom Communications, Inc.",enterprise_ai_software,"Enterprise AI applications, data platforms, cybersecurity or chip/system design software.",2026-01-31,2026-02-27,4868769000,1989048000,1900148000,0001585521-26-000030,0001585521-26-000030,0001585521-26-000030,https://data.sec.gov/api/xbrl/companyfacts/CIK0001585521.json
